USERID,SESSIONID,TS,PLATFORM,EPISODE_NAME,CAPTURE_SUCCESS,RESULT_SUCCESS,CODE,,,,,,,,,
d98fb8c5475f645df88dc8c2186adae3,5.82593E+18,25:52.0,iPhonePlayer,NULL,FALSE,FALSE,0,,,,,,,,,
d98fb8c5475f645df88dc8c2186adae3,8.16774E+18,38:17.0,iPhonePlayer,NULL,FALSE,FALSE,0,,ACR SUCCESSES,,,,,,,
d98fb8c5475f645df88dc8c2186adae3,8.16774E+18,38:22.0,iPhonePlayer,Blenanas,TRUE,FALSE,0,,"10:38:19 - Adventure Time ""Blenanas""",,,,,,,
d98fb8c5475f645df88dc8c2186adae3,8.16774E+18,40:37.0,iPhonePlayer,NULL,FALSE,FALSE,0,,"10:40:40 - Apple & Onion ""Election Day""",,,,,,,
d98fb8c5475f645df88dc8c2186adae3,8.16774E+18,40:44.0,iPhonePlayer,Election Day,TRUE,FALSE,0,,"10:43:19 - TTG! ""Cartoon Feud""",,,,,,,
d98fb8c5475f645df88dc8c2186adae3,8.16774E+18,43:16.0,iPhonePlayer,NULL,FALSE,FALSE,0,,"10:45:32 - Ninjago ""Ninja vs Lava""",,,,,,,
d98fb8c5475f645df88dc8c2186adae3,8.16774E+18,43:22.0,iPhonePlayer,Cartoon Feud,TRUE,FALSE,0,,"10:47:59 - Vic & Val Espanol ""En La Colina Nahul""",,,,,,,
d98fb8c5475f645df88dc8c2186adae3,8.16774E+18,45:29.0,iPhonePlayer,NULL,FALSE,FALSE,0,,,,,,,,,
d98fb8c5475f645df88dc8c2186adae3,8.16774E+18,45:36.0,iPhonePlayer,Ninja vs. Lava,TRUE,FALSE,0,,,,,,,,,
d98fb8c5475f645df88dc8c2186adae3,8.16774E+18,47:56.0,iPhonePlayer,NULL,FALSE,FALSE,0,,,,,,,,,
d98fb8c5475f645df88dc8c2186adae3,8.16774E+18,50:55.0,iPhonePlayer,NULL,FALSE,FALSE,1001,,CODE,,,,,,,
